poi1,poi2,cost
139,138,37842.00992
137,619,45670.09483
137,125,23216.04196
619,125,29270.03009
524,626,51921.12209
524,684,67064.19615
626,684,61821.63068
126,635,46962.95569
126,638,32616.83945
635,638,23569.86849
701,695,25230.40512
701,697,32108.96862
695,697,29139.80999
39,745,43160.36337
39,41,33100.81267
745,41,54651.8855
289,275,32782.47942
289,280,26676.34588
275,280,39475.61302
672,674,31068.69657
672,673,40204.35049
674,673,43698.59573
125,635,48139.75709
125,126,28845.89856
635,126,46962.95569
638,612,30375.13635
638,611,6101.905366
612,611,30733.40834
612,623,41989.83325
612,616,30749.14808
623,616,39255.26499
670,676,36864.75846
670,677,46627.65138
676,677,27872.729
242,239,44774.0386
242,135,37829.45352
239,135,53682.39544
158,698,42764.35002
158,690,46710.96177
698,690,34245.80747
503,379,38061.72923
503,374,33408.13897
379,374,31626.45677
285,289,24549.56922
285,280,27354.91773
289,280,26676.34588
39,45,39707.60038
39,745,43160.36337
45,745,20571.22142
619,635,37192.37398
619,125,29270.03009
635,125,48139.75709
377,503,54779.75923
377,374,46626.75759
503,374,33408.13897
424,137,63122.31676
424,139,49260.91071
137,139,34028.38849
689,46,59655.16724
689,43,38717.05833
46,43,37179.84831
242,236,37255.04138
242,239,44774.0386
236,239,23256.35176
162,701,35960.68496
162,698,30315.52682
701,698,37029.92471
424,619,42596.5437
424,137,63122.31676
619,137,45670.09483
794,797,79790.62411
794,792,45600.03876
797,792,77136.75684
396,399,62912.03699
399,397,43721.29701
673,679,50737.87696
673,675,44034.86111
679,675,13988.0627
289,288,26563.7589
289,275,32782.47942
288,275,25078.89644
53,791,39763.22691
53,372,19955.02777
791,372,29070.52425
721,689,61503.78605
721,680,47785.17437
689,680,27001.82827
695,285,36180.22294
695,697,29139.80999
285,697,37415.22105
677,671,55134.45542
677,814,48606.88664
671,814,35524.64469
721,46,31853.89902
721,689,61503.78605
46,689,59655.16724
817,816,45892.70382
817,814,30013.62156
816,814,39285.8609
610,528,56141.41831
610,623,25931.14203
528,623,43902.67817
676,671,37542.87228
676,677,27872.729
671,677,55134.45542
239,424,48581.01211
239,139,51425.65384
424,139,49260.91071
674,679,48115.82513
674,673,43698.59573
679,673,50737.87696
626,721,45207.95273
626,680,34379.14191
721,680,47785.17437
504,503,50233.00376
504,377,26360.5303
503,377,54779.75923
612,610,41515.89859
612,623,41989.83325
610,623,25931.14203
162,155,21867.91183
162,701,35960.68496
155,701,30673.69624
244,245,34465.05114
244,241,14675.2052
245,241,22475.34229
789,793,55928.10107
789,794,55639.41531
793,794,48509.7236
816,818,44023.68684
816,819,23358.99126
818,819,40676.97309
743,497,40197.18808
743,741,30758.56219
497,741,37644.91408
236,237,16898.07723
236,239,23256.35176
237,239,29384.41899
243,236,22568.68354
243,242,31515.73751
236,242,37255.04138
524,622,51858.49167
524,626,51921.12209
622,626,36897.10935
815,396,61312.80099
815,820,26385.69599
396,820,63966.92589
670,195,37579.2681
670,676,36864.75846
195,676,28666.24323
671,817,26267.80106
671,814,35524.64469
817,814,30013.62156
794,795,78463.76066
794,797,79790.62411
795,797,62435.13821
398,399,50815.39514
398,396,26815.92699
399,396,62912.03699
43,40,53571.69435
43,39,44112.6703
40,39,52673.44747
58,793,45130.46336
58,789,29100.29224
793,789,55928.10107
497,740,46809.43105
497,741,37644.91408
740,741,16959.38248
528,629,68318.91809
528,524,53765.84596
629,524,51429.67441
497,504,44656.78654
497,740,46809.43105
504,740,23986.52758
793,795,46312.16755
793,794,48509.7236
795,794,78463.76066
275,244,40910.86776
275,240,24625.0277
244,240,26194.19398
615,635,34665.63056
615,619,37380.72996
635,619,37192.37398
674,678,43113.15046
674,679,48115.82513
678,679,27586.11474
155,695,33537.87325
155,701,30673.69624
695,701,25230.40512
54,372,36474.03029
54,379,48382.1646
372,379,22320.33183
635,612,39283.45351
635,638,23569.86849
612,638,30375.13635
275,245,50656.01176
275,244,40910.86776
245,244,34465.05114
678,670,35229.49515
678,679,27586.11474
670,679,17369.95018
57,58,27952.95145
57,789,48578.37028
58,789,29100.29224
503,54,40393.28353
503,379,38061.72923
54,379,48382.1646
168,698,52318.94965
168,158,24920.59564
698,158,42764.35002
791,57,59561.31199
791,789,42400.53282
57,789,48578.37028
290,674,35078.06965
290,672,44585.9112
674,672,31068.69657
698,163,46813.7377
698,162,30315.52682
163,162,20373.59443
168,163,28564.51588
168,698,52318.94965
163,698,46813.7377
156,285,40687.16315
156,695,22784.92314
285,695,36180.22294
46,40,40593.18248
46,43,37179.84831
40,43,53571.69435
416,619,46135.03463
416,424,27136.56001
619,424,42596.5437
196,671,29016.66219
196,676,35248.90538
671,676,37542.87228
53,57,37619.9548
53,791,39763.22691
57,791,59561.31199
635,632,43063.5745
635,612,39283.45351
632,612,34304.27651
195,196,22387.99591
195,676,28666.24323
196,676,35248.90538
501,503,49746.01695
501,504,34893.87616
503,504,50233.00376
281,245,28302.56265
281,275,50069.00265
245,275,50656.01176
288,281,32249.45031
288,275,25078.89644
281,275,50069.00265
815,398,54238.06432
815,396,61312.80099
398,396,26815.92699
818,820,55155.17516
818,819,40676.97309
820,819,46679.04567
156,161,25706.89369
156,285,40687.16315
161,285,34958.80602
237,424,47318.5201
237,239,29384.41899
424,239,48581.01211
54,53,32244.89648
54,372,36474.03029
53,372,19955.02777
281,273,14155.62871
281,245,28302.56265
273,245,20213.43933
40,45,45510.85164
40,39,52673.44747
45,39,39707.60038
285,277,40751.01889
285,289,24549.56922
277,289,36902.25748
284,281,19454.46401
284,288,21389.75846
281,288,32249.45031
245,242,38742.03397
245,241,22475.34229
242,241,23703.29555
497,501,42162.54888
497,504,44656.78654
501,504,34893.87616
161,277,20539.52051
161,285,34958.80602
277,285,40751.01889
170,695,39456.98609
170,155,25482.95873
695,155,33537.87325
289,286,39496.01525
289,288,26563.7589
286,288,30977.8024
170,156,24290.9168
170,695,39456.98609
156,695,22784.92314
817,818,48850.92029
817,816,45892.70382
818,816,44023.68684
745,497,43181.64462
745,743,13661.58616
497,743,40197.18808
245,243,40864.01126
245,242,38742.03397
243,242,31515.73751
56,793,41674.22918
56,58,34274.33803
793,58,45130.46336
495,54,30661.00254
495,503,33349.84108
54,503,40393.28353
428,619,49009.40091
428,416,15643.39319
619,416,46135.03463
286,284,19282.42331
286,288,30977.8024
284,288,21389.75846
277,286,21598.46368
277,289,36902.25748
286,289,39496.01525
501,495,41876.96133
501,503,49746.01695
495,503,33349.84108
237,419,36691.09912
237,424,47318.5201
419,424,38985.81945
428,615,32421.0237
428,619,49009.40091
615,619,37380.72996
622,721,51636.32834
622,626,36897.10935
721,626,45207.95273
610,629,67169.21546
610,528,56141.41831
629,528,68318.91809
60,57,33930.35047
60,53,25747.65456
57,53,37619.9548
801,818,46349.8412
801,817,30186.78079
818,817,48850.92029
245,66,38065.06747
245,243,40864.01126
66,243,34106.95285
162,166,38777.98965
162,155,21867.91183
166,155,29761.73476
54,60,33030.62945
54,53,32244.89648
60,53,25747.65456
419,416,31637.24391
419,424,38985.81945
416,424,27136.56001
163,166,30359.22392
163,162,20373.59443
166,162,38777.98965
797,290,72137.45176
797,672,42583.05852
290,672,44585.9112
678,195,46579.97385
678,670,35229.49515
195,670,37579.2681
158,164,42324.24141
158,168,24920.59564
164,168,19630.24137
678,198,45407.79383
678,195,46579.97385
198,195,26814.10238
632,610,53786.00409
632,612,34304.27651
610,612,41515.89859
168,159,32091.32636
168,163,28564.51588
159,163,25925.7665
423,419,28555.89471
423,237,19753.36863
419,237,36691.09912
630,629,48097.54178
630,610,51341.27451
629,610,67169.21546
166,170,23889.93324
166,155,29761.73476
170,155,25482.95873
236,423,33129.91809
236,237,16898.07723
423,237,19753.36863
195,194,33051.66295
195,196,22387.99591
194,196,25390.43519
524,621,72163.28892
524,622,51858.49167
621,622,38752.45166
154,166,19030.56958
154,163,22322.12285
166,163,30359.22392
802,671,40278.29273
802,196,26821.65618
671,196,29016.66219
428,624,24855.34839
428,615,32421.0237
624,615,27581.66507
629,621,48669.96606
629,524,51429.67441
621,524,72163.28892
66,422,22161.74954
66,243,34106.95285
422,243,29063.08649
198,194,20703.79964
198,195,26814.10238
194,195,33051.66295
273,66,31875.67095
273,245,20213.43933
66,245,38065.06747
622,719,52205.94061
622,721,51636.32834
719,721,35519.27087
159,154,16683.22832
159,163,25925.7665
154,163,22322.12285
164,159,24421.86571
164,168,19630.24137
159,168,32091.32636
502,54,33862.85484
502,495,25441.09958
54,495,30661.00254
422,236,42742.93228
422,243,29063.08649
236,243,22568.68354
69,66,21582.25209
69,273,21122.35359
66,273,31875.67095
278,273,24319.57657
278,281,21244.27825
273,281,14155.62871
287,286,23395.72729
287,277,14725.68291
286,277,21598.46368
40,42,47537.64576
40,45,45510.85164
42,45,39781.3759
166,160,17178.387
166,170,23889.93324
160,170,19183.7931
422,423,33468.57553
422,236,42742.93228
423,236,33129.91809
422,420,19694.16329
422,423,33468.57553
420,423,21833.1738
803,817,48195.72888
803,671,45020.74482
817,671,26267.80106
803,801,29020.24637
803,817,48195.72888
801,817,30186.78079
160,169,11629.82595
160,170,19183.7931
169,170,15165.38116
287,276,16552.19403
287,286,23395.72729
276,286,17484.67169
716,40,44900.55095
716,46,51874.44869
40,46,40593.18248
169,156,33440.92365
169,170,15165.38116
156,170,24290.9168
802,803,23897.57952
802,671,40278.29273
803,671,45020.74482
284,278,29610.47139
284,281,19454.46401
278,281,21244.27825
167,161,34272.09274
167,156,34389.95209
161,156,25706.89369
169,167,19425.30467
169,156,33440.92365
167,156,34389.95209
491,159,19864.40366
491,164,17938.73893
159,164,24421.86571
803,798,15095.79177
803,801,29020.24637
798,801,21122.50602
745,47,67676.6134
745,497,43181.64462
47,497,52989.44816
635,618,62823.84439
635,632,43063.5745
618,632,36921.83852
420,417,15396.73889
420,423,21833.1738
417,423,17627.73134
194,802,24327.86228
194,196,25390.43519
802,196,26821.65618
818,815,61558.07916
818,820,55155.17516
815,820,26385.69599
167,165,18622.5646
167,161,34272.09274
165,161,25443.73405
45,47,60441.95537
45,745,20571.22142
47,745,67676.6134
277,157,27692.726
277,287,14725.68291
157,287,15782.22874
161,157,31727.62203
161,277,20539.52051
157,277,27692.726
615,618,48664.81537
615,635,34665.63056
618,635,62823.84439
42,47,32569.53807
42,45,39781.3759
47,45,60441.95537
674,293,60901.2892
674,678,43113.15046
293,678,34350.63176
278,69,21752.9703
278,273,24319.57657
69,273,21122.35359
165,157,14512.9972
165,161,25443.73405
157,161,31727.62203
804,815,65284.86933
804,818,42016.09669
815,818,61558.07916
293,198,40409.92715
293,678,34350.63176
198,678,45407.79383
57,56,42848.16547
57,58,27952.95145
56,58,34274.33803
795,290,75330.58036
795,797,62435.13821
290,797,72137.45176
501,498,48081.39928
501,495,41876.96133
498,495,37103.92242
632,634,46986.19792
632,610,53786.00409
634,610,65450.88583
417,419,31169.42652
417,423,17627.73134
419,423,28555.89471
56,55,39400.46649
56,793,41674.22918
55,793,60371.36832
271,278,20953.13407
271,284,33323.88957
278,284,29610.47139
72,66,22910.68971
72,69,15368.19344
66,69,21582.25209
719,46,53617.29009
719,721,35519.27087
46,721,31853.89902
286,271,33151.34317
286,284,19282.42331
271,284,33323.88957
893,398,72674.41815
893,815,48229.52445
398,815,54238.06432
57,59,48526.72849
57,56,42848.16547
59,56,32085.84865
55,795,59636.72092
55,793,60371.36832
795,793,46312.16755
634,630,42908.86293
634,610,65450.88583
630,610,51341.27451
622,718,57821.17765
622,719,52205.94061
718,719,30776.00876
498,502,29177.14499
498,495,37103.92242
502,495,25441.09958
276,271,26065.69708
276,286,17484.67169
271,286,33151.34317
159,492,23657.14473
159,154,16683.22832
492,154,21313.05334
418,624,26159.63308
418,428,30111.88295
624,428,24855.34839
398,894,73985.50293
398,399,50815.39514
894,399,51021.24131
52,59,21944.41865
52,57,42494.13116
59,57,48526.72849
421,416,44653.83342
421,419,32549.88413
416,419,31637.24391
798,799,21865.63001
798,801,21122.50602
799,801,34254.27579
54,645,46240.20385
54,60,33030.62945
645,60,25352.83178
160,474,19361.89953
160,169,11629.82595
474,169,18352.14436
497,500,62040.48453
497,501,42162.54888
500,501,55793.48835
804,895,33719.2495
804,815,65284.86933
895,815,65558.80928
426,417,19546.30579
426,420,16040.49329
417,420,15396.73889
282,287,23000.29401
282,157,13794.93311
287,157,15782.22874
802,800,26518.33173
802,803,23897.57952
800,803,19732.73023
895,893,32540.02618
895,815,65558.80928
893,815,48229.52445
719,716,52532.86078
719,46,53617.29009
716,46,51874.44869
474,167,23019.83109
474,169,18352.14436
167,169,19425.30467
624,618,44445.44734
624,615,27581.66507
618,615,48664.81537
801,804,54338.88375
801,818,46349.8412
804,818,42016.09669
421,428,43099.51404
421,416,44653.83342
428,416,15643.39319
290,293,63768.80572
290,674,35078.06965
293,674,60901.2892
282,276,26162.64133
282,287,23000.29401
276,287,16552.19403
421,418,29485.11486
421,428,43099.51404
418,428,30111.88295
898,894,49171.40695
898,398,74381.32851
894,398,73985.50293
621,718,48024.76527
621,622,38752.45166
718,622,57821.17765
799,804,46627.01556
799,801,34254.27579
804,801,54338.88375
572,42,45864.28292
572,40,56009.67719
42,40,47537.64576
60,52,49436.86555
60,57,33930.35047
52,57,42494.13116
